gene_5709,gene_5710,gene_18,gene_5506,gene_1867,gene_5647,gene_5228,gene_1221,gene_6223,gene_4016,gene_5996,gene_5715,gene_6208,gene_45,gene_6344,gene_1673,gene_1778,gene_6776,gene_5057,gene_6167,gene_1881,gene_5934,gene_6605,gene_41,gene_2401,gene_50,gene_7095,gene_5198,gene_6217,gene_2344,gene_6218,gene_1375,gene_6200,gene_6669,gene_44,gene_6180,gene_5931,gene_4935,gene_5937,gene_5930,gene_4679,gene_5997,gene_46,gene_5922,gene_1765,gene_2185,gene_1112,gene_38,gene_4651,gene_567,gene_1762,gene_51,gene_542,gene_1693,gene_5167,gene_995,gene_4278,gene_7069,gene_6730,gene_7029,gene_42,gene_5955,gene_5561,gene_3313,gene_5925,gene_7096,gene_282,gene_1801,gene_6883,gene_1132,gene_43,gene_2798,gene_1549,gene_7101,gene_6612,gene_7100,gene_1797,gene_5551,gene_6788,gene_1108,gene_6926,gene_40,gene_4317,gene_6178,gene_4198,gene_6772,gene_562,gene_4467,gene_1393,gene_1703,gene_6199,gene_6463,gene_5087,gene_2289,gene_5728,gene_5307,gene_6805,gene_5104,gene_6802,gene_5798,mean_expression,std_expression,max_expression,min_expression,expression_range,mutation_flag,cancer,cancer_label,anomaly_flag
17602,17962,15091,21011,-272,31086,8656,20764,-113,19748,14391,16489,15009,18727,5642,5418,56,-19826,16258,15446,303,1024,153,15076,782,6750,21210,16514,-26,7,-351,4660,333,11038,16287,18443,3326,7546,16077,3245,14511,23239,15774,15216,14744,1489,212,14538,14002,25071,14223,6559,5152,723,8463,13924,153,13537,9712,7118,11126,1584,17139,12454,21909,13771,7819,6312,119,524,17782,15119,15962,10882,8418,14476,147,9144,8421,1158,14339,8529,5214,2700,22525,13665,9881,3987,2654,3221,292,16627,3215,15442,18573,14552,557,8868,382,13706,641.3670921587881,2264.2943614184733,31086,-19826,50912,0,ALL,0,0
9868,16964,11038,25240,-194,29288,13285,17636,4452,7657,12824,22665,13566,20668,4858,17348,-29,-17930,14570,6169,1358,5031,12791,19448,368,2215,21059,15019,-166,1405,-432,4644,5345,18550,17926,21084,5768,9601,7162,1353,-16,22321,16959,15643,16712,6084,1346,615,14512,23095,17650,3824,16420,9456,18588,25285,-248,3319,9336,14580,13568,6035,21863,19697,21319,15097,10357,4497,44,413,18112,20593,21492,11789,11569,13686,1858,4090,1798,15997,5086,1518,850,6638,24045,16658,17544,6021,6765,10954,2062,13660,1582,17789,18421,18931,2716,11636,3606,14719,690.2463178566419,2468.8143724567403,29288,-17930,47218,0,ALL,0,0
28056,23436,16692,14950,-79,14835,15704,23324,775,1032,17278,7562,18957,24672,-398,6156,-109,-27182,17008,-662,254,2012,-591,27410,1268,3325,24292,18034,79,-33,-329,2488,301,8398,22626,22167,-216,2918,21278,770,-206,24556,18285,17059,16731,2281,880,5669,15724,21525,21798,3349,7840,19653,11825,15794,-34,552,11727,5245,16756,10435,18189,20420,19963,17378,12527,1397,172,975,23006,14283,18010,5023,9738,6560,862,3192,-490,3925,9752,3668,85,6981,21956,15573,13086,1855,3387,16529,-25,18802,1798,19708,18617,21497,1716,7422,2997,16661,698.3078973208023,2485.656277483499,28056,-27182,55238,0,ALL,0,0
23812,22240,15763,31449,-300,25421,15691,21733,157,13356,15147,10996,16547,18773,-121,7070,-62,-23396,16017,11734,-304,2168,-882,14920,882,3058,17558,17725,171,6418,-300,3153,241,5763,15770,21771,37,9491,11421,419,5207,22891,14245,14893,17036,2178,10076,4850,14490,21279,15790,2442,5802,-190,8847,21231,-155,3529,10177,6779,11439,-45,18894,13477,18519,13818,7693,7723,395,786,17633,18977,18467,9567,11464,8955,-50,4750,2686,-300,8995,2569,6750,6276,24663,11275,14466,2825,1646,5364,-2,16263,11688,17589,17692,15979,1143,10420,1331,7177,600.9852714265676,2340.0474282059536,31449,-23396,54845,0,ALL,0,0
3553,5472,18128,12606,-157,29543,3390,20332,2175,13769,14101,12769,18660,19091,687,9017,938,-10339,17258,9260,-86,2877,-448,14653,949,1130,18530,18478,315,2139,-325,3185,93,7880,16386,19363,974,10367,10273,693,5994,23943,18323,16597,16806,1094,13149,1284,16640,23776,15470,1056,4690,95,9449,22273,43,4240,10411,8732,15030,1583,15341,14846,13909,15619,10766,10675,124,531,17384,22706,16105,8512,9349,8443,1023,7453,2345,197,3407,316,4902,9739,27143,12465,13686,7373,2189,2837,138,16907,2597,17797,17491,16141,2917,14877,3069,9445,679.5328938139992,2375.8954162537043,29543,-10339,39882,0,ALL,0,0
7809,7418,34207,24722,-202,8097,3085,32791,1612,1749,26900,4834,14522,38467,-248,6221,88,-21658,24528,1106,1168,2766,28104,25771,910,3906,33638,23815,-104,-74,-364,1198,215,6691,32046,26169,280,2263,21046,503,-220,25405,25364,25351,23456,1513,531,4148,23235,11926,29496,4530,7461,7978,9106,14846,-184,1417,16421,2633,24420,10205,16876,18192,12278,27972,6572,1657,-28,656,30481,14611,11471,4214,12415,3632,848,1897,35,586,6280,2404,236,5263,29898,27089,10375,1458,2951,16135,23,23447,2222,12827,19492,22097,3300,8371,2850,9305,564.7977275915275,2494.604090196326,38467,-21658,60125,0,ALL,0,0
41911,33041,30801,30267,-253,21002,23015,33797,109,10249,25197,16433,9147,14956,-223,4746,-78,-24024,21840,8433,-233,2034,-1129,11605,826,7761,20531,23369,-250,2377,-341,4528,159,9313,13576,15327,1080,9863,8265,334,-104,23781,18106,13087,16959,2866,4652,21573,22243,15712,18805,2532,5713,-270,9011,13050,-194,3216,15907,5586,12125,307,15252,14223,15021,18708,7216,6601,1107,779,20356,13830,16188,7144,8502,9542,-299,7593,1492,465,9502,26002,5998,4456,29492,25427,12736,5649,1885,6067,107,24680,-527,15317,13949,16599,830,6632,1201,6699,584.437649039136,2412.81226291403,41911,-24024,65935,0,ALL,0,0
3991,25832,25147,34136,-272,40065,17601,24655,44,21435,21687,18892,17979,18006,1541,7881,-257,-27570,18943,11169,-247,1811,365,8184,1302,4277,17000,22753,-110,3817,-649,1454,455,17826,16303,17348,883,5886,11357,2440,9682,27237,16885,16829,18213,2129,133,3934,17199,13118,17175,4542,3230,1289,7850,18936,-322,4776,13493,10295,4175,233,17138,19366,24018,11531,10210,2223,5012,643,10642,16711,13618,11441,7148,15741,-131,13214,2577,1095,13141,1299,5853,3323,25858,19436,8118,7820,2193,3103,-19,22449,3679,17450,19213,18077,1683,5937,1947,10507,571.3590966474961,2378.78045007804,40065,-27570,67635,0,ALL,0,0
978,1671,15272,13273,-130,16292,143,18208,1219,1432,12006,7918,20595,18507,910,9431,-35,-25171,13129,437,336,4944,14290,19932,1337,6114,22307,15348,118,191,-395,1798,445,14471,18288,20388,-561,5919,21674,1926,-118,23602,15693,15246,16113,3862,6915,13005,13825,21772,17827,3916,11441,16572,9491,21792,-195,786,8893,6382,15546,11375,21607,19824,19279,15594,17588,2593,-44,820,18316,22709,18757,6286,11771,7641,976,2551,-130,582,14781,13939,345,12128,23594,7485,14541,4563,5145,15235,104,13611,3119,18909,20296,16795,1965,13954,2629,17678,789.7137045868985,2580.157021140716,23602,-25171,48773,1,ALL,0,0
6153,8419,21801,6933,352,10073,5013,26774,902,2273,18387,2779,22332,25078,-72,5092,392,-12500,18960,1671,498,6687,15987,27919,82,-9,20357,20012,344,-10,161,5702,522,17685,20332,17569,260,3387,22146,361,-93,23694,19625,17924,20922,1974,696,-163,18867,21632,21874,532,15331,21880,16254,13129,-15,838,11949,3845,18782,10110,16595,21759,11614,18398,14289,2776,121,448,23485,20338,17741,3584,7696,6039,1099,1983,129,865,4396,-241,256,9205,27518,18678,9909,4169,2334,8982,-35,18927,4927,16337,17462,19497,1781,17067,2148,11779,599.4830972085847,2421.15621913576,28033,-12500,40533,0,ALL,0,0
